num_distr,mouse.time,mouse.clicked_name,,,,,,,,num_distr,mouse.time,mouse.clicked_name
5,[1.3243458999786526],['target'],,,,,,,,10,[1.537528800079599],['target']
5,[1.632008400047198],['target'],,,,,,,,10,[5.504476899979636],['target']
5,[1.962850800016895],['target'],,,,,,,,10,[1.936506099998951],['target']
5,[1.5493302999529988],['target'],,,,,,,,10,[1.8365976000204682],['target']
5,[1.5302657999563962],['target'],,,,,,,,10,[0.7057491999585181],['target']
5,[1.9300440000370145],['target'],,,,,,,,10,[2.777619599830359],['target']
5,[1.2657627000007778],['target'],,,,,,,,10,[2.3503675998654217],['target']
5,[1.9468968999572098],['target'],,,,,,,,10,[2.316805499838665],[]
5,[1.631455599796027],['target'],,,,,,,,10,[2.53890289994888],['target']
5,[1.6967231000307947],['target'],,,,,,,,10,[2.183091899845749],['target']
5,[1.3830215998459607],['target'],,,,,,,,10,[2.5791397001594305],[]
5,[1.7470770000945777],['target'],,,,,,,,10,[2.196066699922085],['target']
5,[1.3820924998726696],['target'],,,,,,,,10,[1.7928130999207497],['target']
5,[1.0671310001052916],['target'],,,,,,,,10,[1.8784320999402553],['target']
5,[1.3334782000165433],['target'],,,,,,,,10,[1.5230524002108723],['target']
5,[1.6642095998395234],['target'],,,,,,,,10,[1.9004655999597162],['target']
5,[2.3942731998395175],[],,,,,,,,10,[2.8595904000103474],[]
5,[2.0958843000698835],['target'],,,,,,,,10,[3.4908080000896007],['target']
5,[1.499068400124088],['target'],,,,,,,,10,[3.030247899936512],[]
5,[1.481706399936229],['target'],,,,,,,,10,[7.029182099970058],[]
5,[2.0631837998516858],['target'],,,,,,,,10,[2.320288899820298],['target']
5,[1.4494249999988824],['target'],,,,,,,,10,[2.738351999782026],['target']
5,[1.2662206999957561],['target'],,,,,,,,10,[2.7393443998880684],['target']
5,[1.5816518000792712],['target'],,,,,,,,10,[1.8870448998641223],['target']
5,[1.6977856999728829],['target'],,,,,,,,10,[1.7974524998571724],['target']
